Year,Mean Salary,Number of People Employed,Link to Data
2023,138110,1656880,https://www.bls.gov/oes/current/oes151252.htm
2022,132930,1534790,https://www.bls.gov/oes/2022/may/oes151252.htm
2021,120990,1364180,https://www.bls.gov/oes/2021/may/oes151252.htm
2020,114270,1476800,https://www.bls.gov/oes/2020/may/oes151256.htm
2019,111620,1406870,https://www.bls.gov/oes/2019/may/oes151256.htm
2018,108080,1666270,https://www.bls.gov/news.release/archives/ocwage_03292019.pdf
2017,102470,1617400,https://www.bls.gov/news.release/archives/ocwage_03302018.pdf
2016,100080,1604570,https://www.bls.gov/news.release/archives/ocwage_03312017.pdf
2015,102160,1554960,https://www.bls.gov/news.release/archives/ocwage_03302016.pdf
2014,95280,1492040,https://www.bls.gov/news.release/archives/ocwage_03252015.pdf
2013,92820,1442500,https://www.bls.gov/news.release/archives/ocwage_04012014.pdf
2012,93280,1397780,https://www.bls.gov/news.release/archives/ocwage_03292013.pdf
